file,type,value,rate
wrong_true_politifact_5,q_1_farmers_value,wrong value,0.56
correct_false_abc_5,q_2_marks_value,correct value,0.32
correct_false_abc_5,q_2_marks_value,wrong value,0.7
correct_false_all_10,q_2_marks_value,correct value,0.35
correct_false_all_10,q_2_marks_value,wrong value,0.66
correct_false_politifact_5,q_2_marks_value,correct value,0.38
correct_false_politifact_5,q_2_marks_value,wrong value,0.62
correct_true_abc_5,q_2_marks_value,correct value,0.3
correct_true_abc_5,q_2_marks_value,wrong value,0.7
correct_true_all_10,q_2_marks_value,correct value,0.28
correct_true_all_10,q_2_marks_value,wrong value,0.72
correct_true_politifact_5,q_2_marks_value,correct value,0.26
correct_true_politifact_5,q_2_marks_value,wrong value,0.74
wrong_false_abc_5,q_2_marks_value,correct value,0.36
wrong_false_abc_5,q_2_marks_value,wrong value,0.64
wrong_false_all_10,q_2_marks_value,correct value,0.31
wrong_false_all_10,q_2_marks_value,wrong value,0.68
wrong_false_politifact_5,q_2_marks_value,correct value,0.28
wrong_false_politifact_5,q_2_marks_value,wrong value,0.72
wrong_true_abc_5,q_2_marks_value,correct value,0.34
wrong_true_abc_5,q_2_marks_value,wrong value,0.66
wrong_true_all_10,q_2_marks_value,correct value,0.35
wrong_true_all_10,q_2_marks_value,wrong value,0.65
wrong_true_politifact_5,q_2_marks_value,correct value,0.22
wrong_true_politifact_5,q_2_marks_value,wrong value,0.78
correct_false_abc_5,q_3_athletics_value,correct value,0.48
correct_false_abc_5,q_3_athletics_value,wrong value,0.54
correct_false_all_10,q_3_athletics_value,correct value,0.49
correct_false_all_10,q_3_athletics_value,wrong value,0.52
correct_false_politifact_5,q_3_athletics_value,correct value,0.5
correct_false_politifact_5,q_3_athletics_value,wrong value,0.5
correct_true_abc_5,q_3_athletics_value,correct value,0.5
correct_true_abc_5,q_3_athletics_value,wrong value,0.5
correct_true_all_10,q_3_athletics_value,correct value,0.41
correct_true_all_10,q_3_athletics_value,wrong value,0.59
correct_true_politifact_5,q_3_athletics_value,correct value,0.32
correct_true_politifact_5,q_3_athletics_value,wrong value,0.68
wrong_false_abc_5,q_3_athletics_value,correct value,0.4
wrong_false_abc_5,q_3_athletics_value,wrong value,0.6
wrong_false_all_10,q_3_athletics_value,correct value,0.37
wrong_false_all_10,q_3_athletics_value,wrong value,0.62
wrong_false_politifact_5,q_3_athletics_value,correct value,0.34
wrong_false_politifact_5,q_3_athletics_value,wrong value,0.66
wrong_true_abc_5,q_3_athletics_value,correct value,0.36
wrong_true_abc_5,q_3_athletics_value,wrong value,0.64
wrong_true_all_10,q_3_athletics_value,correct value,0.39
wrong_true_all_10,q_3_athletics_value,wrong value,0.61
wrong_true_politifact_5,q_3_athletics_value,correct value,0.26
wrong_true_politifact_5,q_3_athletics_value,wrong value,0.74
correct_false_abc_5,doc_index,0.0,0.1
correct_false_abc_5,doc_index,1.0,0.06
correct_false_abc_5,doc_index,2.0,0.12
correct_false_abc_5,doc_index,8.0,0.24
correct_false_abc_5,doc_index,9.0,0.14
correct_false_abc_5,doc_index,10.0,0.36
correct_false_all_10,doc_index,0.0,0.06
correct_false_all_10,doc_index,1.0,0.07
correct_false_all_10,doc_index,2.0,0.13
correct_false_all_10,doc_index,3.0,0.06
correct_false_all_10,doc_index,4.0,0.09
correct_false_all_10,doc_index,5.0,0.08
correct_false_all_10,doc_index,6.0,0.06
correct_false_all_10,doc_index,7.0,0.05
correct_false_all_10,doc_index,8.0,0.12
correct_false_all_10,doc_index,9.0,0.08
correct_false_all_10,doc_index,10.0,0.21
correct_false_politifact_5,doc_index,0.0,0.02
correct_false_politifact_5,doc_index,1.0,0.08
correct_false_politifact_5,doc_index,2.0,0.14
correct_false_politifact_5,doc_index,3.0,0.12
correct_false_politifact_5,doc_index,4.0,0.18
correct_false_politifact_5,doc_index,5.0,0.16
correct_false_politifact_5,doc_index,6.0,0.12
correct_false_politifact_5,doc_index,7.0,0.1
correct_false_politifact_5,doc_index,9.0,0.02
correct_false_politifact_5,doc_index,10.0,0.06
correct_true_abc_5,doc_index,0.0,0.04
correct_true_abc_5,doc_index,1.0,0.04
correct_true_abc_5,doc_index,2.0,0.16
correct_true_abc_5,doc_index,8.0,0.3
correct_true_abc_5,doc_index,9.0,0.28
correct_true_abc_5,doc_index,10.0,0.18
correct_true_all_10,doc_index,0.0,0.06
correct_true_all_10,doc_index,1.0,0.08
correct_true_all_10,doc_index,2.0,0.11
correct_true_all_10,doc_index,3.0,0.08
correct_true_all_10,doc_index,4.0,0.04
correct_true_all_10,doc_index,5.0,0.05
correct_true_all_10,doc_index,6.0,0.04
correct_true_all_10,doc_index,7.0,0.08
correct_true_all_10,doc_index,8.0,0.18
correct_true_all_10,doc_index,9.0,0.16
correct_true_all_10,doc_index,10.0,0.12
correct_true_politifact_5,doc_index,0.0,0.08
correct_true_politifact_5,doc_index,1.0,0.12
correct_true_politifact_5,doc_index,2.0,0.06
correct_true_politifact_5,doc_index,3.0,0.16
correct_true_politifact_5,doc_index,4.0,0.08
correct_true_politifact_5,doc_index,5.0,0.1
correct_true_politifact_5,doc_index,6.0,0.08
correct_true_politifact_5,doc_index,7.0,0.16
correct_true_politifact_5,doc_index,8.0,0.06
correct_true_politifact_5,doc_index,9.0,0.04
correct_true_politifact_5,doc_index,10.0,0.06
wrong_false_abc_5,doc_index,0.0,0.06
wrong_false_abc_5,doc_index,1.0,0.12
wrong_false_abc_5,doc_index,2.0,0.06
wrong_false_abc_5,doc_index,8.0,0.14
wrong_false_abc_5,doc_index,9.0,0.32
wrong_false_abc_5,doc_index,10.0,0.3
wrong_false_all_10,doc_index,0.0,0.08
wrong_false_all_10,doc_index,1.0,0.1
wrong_false_all_10,doc_index,2.0,0.08
wrong_false_all_10,doc_index,3.0,0.03
wrong_false_all_10,doc_index,4.0,0.05
wrong_false_all_10,doc_index,5.0,0.02
wrong_false_all_10,doc_index,6.0,0.04
wrong_false_all_10,doc_index,7.0,0.08
wrong_false_all_10,doc_index,8.0,0.1
wrong_false_all_10,doc_index,9.0,0.2
wrong_false_all_10,doc_index,10.0,0.21
wrong_false_politifact_5,doc_index,0.0,0.08
wrong_false_politifact_5,doc_index,1.0,0.06
wrong_false_politifact_5,doc_index,2.0,0.14
wrong_false_politifact_5,doc_index,3.0,0.06
wrong_false_politifact_5,doc_index,4.0,0.14
wrong_false_politifact_5,doc_index,5.0,0.06
wrong_false_politifact_5,doc_index,6.0,0.08
wrong_false_politifact_5,doc_index,7.0,0.2
wrong_false_politifact_5,doc_index,8.0,0.04
wrong_false_politifact_5,doc_index,9.0,0.08
wrong_false_politifact_5,doc_index,10.0,0.06
wrong_true_abc_5,doc_index,0.0,0.06
wrong_true_abc_5,doc_index,1.0,0.14
wrong_true_abc_5,doc_index,2.0,0.08
wrong_true_abc_5,doc_index,8.0,0.3
wrong_true_abc_5,doc_index,9.0,0.2
wrong_true_abc_5,doc_index,10.0,0.22
wrong_true_all_10,doc_index,0.0,0.1
wrong_true_all_10,doc_index,1.0,0.08
wrong_true_all_10,doc_index,2.0,0.03
wrong_true_all_10,doc_index,3.0,0.08
wrong_true_all_10,doc_index,4.0,0.06
wrong_true_all_10,doc_index,5.0,0.14
wrong_true_all_10,doc_index,6.0,0.16
wrong_true_all_10,doc_index,7.0,0.06
wrong_true_all_10,doc_index,8.0,0.08
wrong_true_all_10,doc_index,9.0,0.06
wrong_true_all_10,doc_index,10.0,0.15
wrong_true_politifact_5,doc_index,0.0,0.1
wrong_true_politifact_5,doc_index,1.0,0.08
wrong_true_politifact_5,doc_index,2.0,0.02
wrong_true_politifact_5,doc_index,3.0,0.06
wrong_true_politifact_5,doc_index,4.0,0.06
wrong_true_politifact_5,doc_index,5.0,0.2
wrong_true_politifact_5,doc_index,6.0,0.24
wrong_true_politifact_5,doc_index,7.0,0.06
wrong_true_politifact_5,doc_index,8.0,0.06
wrong_true_politifact_5,doc_index,9.0,0.04
wrong_true_politifact_5,doc_index,10.0,0.08
correct_false_abc_5,doc_name,Labor,0.6
correct_false_abc_5,doc_name,Liberal,0.42
correct_false_all_10,doc_name,DEM,0.3
correct_false_all_10,doc_name,Labor,0.3
correct_false_all_10,doc_name,Liberal,0.21
correct_false_all_10,doc_name,REP,0.2
correct_false_politifact_5,doc_name,DEM,0.6
correct_false_politifact_5,doc_name,REP,0.4
correct_true_abc_5,doc_name,Labor,0.4
correct_true_abc_5,doc_name,Liberal,0.6
correct_true_all_10,doc_name,DEM,0.5
correct_true_all_10,doc_name,Labor,0.2
correct_true_all_10,doc_name,Liberal,0.3
correct_true_politifact_5,doc_name,DEM,1.0
wrong_false_abc_5,doc_name,Labor,0.6
wrong_false_abc_5,doc_name,Liberal,0.4
wrong_false_all_10,doc_name,DEM,0.3
wrong_false_all_10,doc_name,Labor,0.3
wrong_false_all_10,doc_name,Liberal,0.29
wrong_false_all_10,doc_name,REP,0.1
wrong_false_politifact_5,doc_name,DEM,0.8
wrong_false_politifact_5,doc_name,REP,0.2
wrong_true_abc_5,doc_name,Labor,0.4
wrong_true_abc_5,doc_name,Liberal,0.6
wrong_true_all_10,doc_name,DEM,0.2
wrong_true_all_10,doc_name,Labor,0.1
wrong_true_all_10,doc_name,Liberal,0.1
wrong_true_all_10,doc_name,REP,0.6
wrong_true_politifact_5,doc_name,DEM,0.4
wrong_true_politifact_5,doc_name,REP,0.6
correct_false_abc_5,doc_claimant,Anthony Albanese,0.2
correct_false_abc_5,doc_claimant,Joe Hockey,0.22
correct_false_abc_5,doc_claimant,Kevin Rudd,0.2
correct_false_abc_5,doc_claimant,Michelle Rowland,0.2
correct_false_abc_5,doc_claimant,Tony Abbott,0.2
correct_false_all_10,doc_claimant,Anthony Albanese,0.1
correct_false_all_10,doc_claimant,Eric Cantor,0.1
correct_false_all_10,doc_claimant,Graeme Zielinski,0.1
correct_false_all_10,doc_claimant,Joe Hockey,0.11
correct_false_all_10,doc_claimant,Kevin Rudd,0.1
correct_false_all_10,doc_claimant,Mary Burke,0.1
correct_false_all_10,doc_claimant,Michelle Rowland,0.1
correct_false_all_10,doc_claimant,Mitt Romney,0.1
correct_false_all_10,doc_claimant,Paul Hirschbiel,0.1
correct_false_all_10,doc_claimant,Tony Abbott,0.1
correct_false_politifact_5,doc_claimant,Eric Cantor,0.2
correct_false_politifact_5,doc_claimant,Graeme Zielinski,0.2
correct_false_politifact_5,doc_claimant,Mary Burke,0.2
correct_false_politifact_5,doc_claimant,Mitt Romney,0.2
correct_false_politifact_5,doc_claimant,Paul Hirschbiel,0.2
correct_true_abc_5,doc_claimant,Chris Bowen,0.2
correct_true_abc_5,doc_claimant,George Brandis,0.2
correct_true_abc_5,doc_claimant,Kevin Rudd,0.2
correct_true_abc_5,doc_claimant,Scott Morrison,0.2
correct_true_abc_5,doc_claimant,Tony Abbott,0.2
correct_true_all_10,doc_claimant,Alan Grayson,0.1
correct_true_all_10,doc_claimant,Chris Bowen,0.1
correct_true_all_10,doc_claimant,Dennis Kucinich,0.1
correct_true_all_10,doc_claimant,George Brandis,0.1
correct_true_all_10,doc_claimant,Hillary Clinton,0.1
correct_true_all_10,doc_claimant,Kevin Rudd,0.1
correct_true_all_10,doc_claimant,Marcia Fudge,0.1
correct_true_all_10,doc_claimant,Scott Morrison,0.1
correct_true_all_10,doc_claimant,Tony Abbott,0.1
correct_true_all_10,doc_claimant,Yvette Mcgee Brown,0.1
correct_true_politifact_5,doc_claimant,Alan Grayson,0.2
correct_true_politifact_5,doc_claimant,Dennis Kucinich,0.2
correct_true_politifact_5,doc_claimant,Hillary Clinton,0.2
correct_true_politifact_5,doc_claimant,Marcia Fudge,0.2
correct_true_politifact_5,doc_claimant,Yvette Mcgee Brown,0.2
wrong_false_abc_5,doc_claimant,Chris Bowen,0.2
wrong_false_abc_5,doc_claimant,Christopher Pyne,0.2
wrong_false_abc_5,doc_claimant,Kevin Rudd,0.4
wrong_false_abc_5,doc_claimant,Tony Abbott,0.2
wrong_false_all_10,doc_claimant,Barry O'Farrell,0.09
wrong_false_all_10,doc_claimant,Chris Bowen,0.1
wrong_false_all_10,doc_claimant,Chris Christie,0.1
wrong_false_all_10,doc_claimant,Christopher Pyne,0.1
wrong_false_all_10,doc_claimant,David Cicilline,0.1
wrong_false_all_10,doc_claimant,Gina Raimondo,0.1
wrong_false_all_10,doc_claimant,Kevin Rudd,0.2
wrong_false_all_10,doc_claimant,Lena Taylor,0.1
wrong_false_all_10,doc_claimant,Tony Abbott,0.1
wrong_false_politifact_5,doc_claimant,Chris Christie,0.2
wrong_false_politifact_5,doc_claimant,David Cicilline,0.2
wrong_false_politifact_5,doc_claimant,Gina Raimondo,0.2
wrong_false_politifact_5,doc_claimant,Lena Taylor,0.2
wrong_false_politifact_5,doc_claimant,Sandra Cunningham,0.2
wrong_true_abc_5,doc_claimant,Annastacia Palaszczuk,0.2
wrong_true_abc_5,doc_claimant,Barry O'Farrell,0.2
wrong_true_abc_5,doc_claimant,Joe Hockey,0.2
wrong_true_abc_5,doc_claimant,Kevin Rudd,0.2
wrong_true_abc_5,doc_claimant,Mathias Cormann,0.2
wrong_true_all_10,doc_claimant,Barack Obama,0.1
wrong_true_all_10,doc_claimant,Blue Oregon,0.1
wrong_true_all_10,doc_claimant,Dean Cannon,0.1
wrong_true_all_10,doc_claimant,Eric Cantor,0.1
wrong_true_all_10,doc_claimant,Jason Isaac,0.1
wrong_true_all_10,doc_claimant,Joe Hockey,0.1
wrong_true_all_10,doc_claimant,Josh Mandel,0.1
wrong_true_all_10,doc_claimant,Kevin Rudd,0.1
wrong_true_all_10,doc_claimant,Ron Desantis,0.1
wrong_true_all_10,doc_claimant,Scott Walker,0.1
wrong_true_politifact_5,doc_claimant,Barack Obama,0.2
wrong_true_politifact_5,doc_claimant,Blue Oregon,0.2
wrong_true_politifact_5,doc_claimant,Josh Mandel,0.2
wrong_true_politifact_5,doc_claimant,Ron Desantis,0.2
wrong_true_politifact_5,doc_claimant,Scott Walker,0.2
correct_false_abc_5,doc_date,2013.0,0.62
correct_false_abc_5,doc_date,2014.0,0.4
correct_false_all_10,doc_date,2012.0,0.3
correct_false_all_10,doc_date,2013.0,0.41
correct_false_all_10,doc_date,2014.0,0.3
correct_false_politifact_5,doc_date,2012.0,0.6
correct_false_politifact_5,doc_date,2013.0,0.2
correct_false_politifact_5,doc_date,2014.0,0.2
correct_true_abc_5,doc_date,2013.0,0.8
correct_true_abc_5,doc_date,2014.0,0.2
correct_true_all_10,doc_date,2007.0,0.1
correct_true_all_10,doc_date,2010.0,0.2
correct_true_all_10,doc_date,2011.0,0.1
correct_true_all_10,doc_date,2012.0,0.1
correct_true_all_10,doc_date,2013.0,0.4
correct_true_all_10,doc_date,2014.0,0.1
correct_true_politifact_5,doc_date,2007.0,0.2
correct_true_politifact_5,doc_date,2010.0,0.4
correct_true_politifact_5,doc_date,2011.0,0.2
correct_true_politifact_5,doc_date,2012.0,0.2
wrong_false_abc_5,doc_date,2013.0,1.0
wrong_false_all_10,doc_date,2011.0,0.2
wrong_false_all_10,doc_date,2012.0,0.1
wrong_false_all_10,doc_date,2013.0,0.59
wrong_false_all_10,doc_date,2014.0,0.1
wrong_false_politifact_5,doc_date,2011.0,0.6
wrong_false_politifact_5,doc_date,2012.0,0.2
wrong_false_politifact_5,doc_date,2014.0,0.2
wrong_true_abc_5,doc_date,2013.0,0.6
wrong_true_abc_5,doc_date,2014.0,0.2
wrong_true_abc_5,doc_date,2015.0,0.2
wrong_true_all_10,doc_date,2008.0,0.1
wrong_true_all_10,doc_date,2010.0,0.2
wrong_true_all_10,doc_date,2011.0,0.2
wrong_true_all_10,doc_date,2013.0,0.3
wrong_true_all_10,doc_date,2014.0,0.2
wrong_true_politifact_5,doc_date,2008.0,0.2
wrong_true_politifact_5,doc_date,2010.0,0.2
wrong_true_politifact_5,doc_date,2011.0,0.2
wrong_true_politifact_5,doc_date,2013.0,0.2
wrong_true_politifact_5,doc_date,2014.0,0.2
correct_false_abc_5,doc_source,abc,1.02
correct_false_all_10,doc_source,abc,0.51
correct_false_all_10,doc_source,politifact,0.5
correct_false_politifact_5,doc_source,politifact,1.0
correct_true_abc_5,doc_source,abc,1.0
correct_true_all_10,doc_source,abc,0.5
correct_true_all_10,doc_source,politifact,0.5
correct_true_politifact_5,doc_source,politifact,1.0
wrong_false_abc_5,doc_source,abc,1.0
wrong_false_all_10,doc_source,abc,0.59
wrong_false_all_10,doc_source,politifact,0.4
wrong_false_politifact_5,doc_source,politifact,1.0
wrong_true_abc_5,doc_source,abc,1.0
wrong_true_all_10,doc_source,abc,0.2
wrong_true_all_10,doc_source,politifact,0.8
wrong_true_politifact_5,doc_source,politifact,1.0
correct_false_abc_5,doc_overall-truthfulness_value,-2.0,0.26
correct_false_abc_5,doc_overall-truthfulness_value,-1.0,0.26
correct_false_abc_5,doc_overall-truthfulness_value,0.0,0.22
correct_false_abc_5,doc_overall-truthfulness_value,1.0,0.2
correct_false_abc_5,doc_overall-truthfulness_value,2.0,0.08
correct_false_all_10,doc_overall-truthfulness_value,-2.0,0.27
correct_false_all_10,doc_overall-truthfulness_value,-1.0,0.23
correct_false_all_10,doc_overall-truthfulness_value,0.0,0.27
correct_false_all_10,doc_overall-truthfulness_value,1.0,0.14
correct_false_all_10,doc_overall-truthfulness_value,2.0,0.1
correct_false_politifact_5,doc_overall-truthfulness_value,-2.0,0.28
correct_false_politifact_5,doc_overall-truthfulness_value,-1.0,0.2
correct_false_politifact_5,doc_overall-truthfulness_value,0.0,0.32
correct_false_politifact_5,doc_overall-truthfulness_value,1.0,0.08
correct_false_politifact_5,doc_overall-truthfulness_value,2.0,0.12
correct_true_abc_5,doc_overall-truthfulness_value,-2.0,0.02
correct_true_abc_5,doc_overall-truthfulness_value,-1.0,0.04
correct_true_abc_5,doc_overall-truthfulness_value,0.0,0.2
correct_true_abc_5,doc_overall-truthfulness_value,1.0,0.32
correct_true_abc_5,doc_overall-truthfulness_value,2.0,0.42
correct_true_all_10,doc_overall-truthfulness_value,-2.0,0.03
correct_true_all_10,doc_overall-truthfulness_value,-1.0,0.04
correct_true_all_10,doc_overall-truthfulness_value,0.0,0.14
correct_true_all_10,doc_overall-truthfulness_value,1.0,0.34
correct_true_all_10,doc_overall-truthfulness_value,2.0,0.45
correct_true_politifact_5,doc_overall-truthfulness_value,-2.0,0.04
correct_true_politifact_5,doc_overall-truthfulness_value,-1.0,0.04
correct_true_politifact_5,doc_overall-truthfulness_value,0.0,0.08
correct_true_politifact_5,doc_overall-truthfulness_value,1.0,0.36
correct_true_politifact_5,doc_overall-truthfulness_value,2.0,0.48
wrong_false_abc_5,doc_overall-truthfulness_value,-1.0,0.12
wrong_false_abc_5,doc_overall-truthfulness_value,0.0,0.18
wrong_false_abc_5,doc_overall-truthfulness_value,1.0,0.46
wrong_false_abc_5,doc_overall-truthfulness_value,2.0,0.24
wrong_false_all_10,doc_overall-truthfulness_value,-2.0,0.01
wrong_false_all_10,doc_overall-truthfulness_value,-1.0,0.1
wrong_false_all_10,doc_overall-truthfulness_value,0.0,0.21
wrong_false_all_10,doc_overall-truthfulness_value,1.0,0.42
wrong_false_all_10,doc_overall-truthfulness_value,2.0,0.25
wrong_false_politifact_5,doc_overall-truthfulness_value,-2.0,0.02
wrong_false_politifact_5,doc_overall-truthfulness_value,-1.0,0.1
wrong_false_politifact_5,doc_overall-truthfulness_value,0.0,0.2
wrong_false_politifact_5,doc_overall-truthfulness_value,1.0,0.46
wrong_false_politifact_5,doc_overall-truthfulness_value,2.0,0.22
wrong_true_abc_5,doc_overall-truthfulness_value,-2.0,0.04
wrong_true_abc_5,doc_overall-truthfulness_value,-1.0,0.16
wrong_true_abc_5,doc_overall-truthfulness_value,0.0,0.36
wrong_true_abc_5,doc_overall-truthfulness_value,1.0,0.3
wrong_true_abc_5,doc_overall-truthfulness_value,2.0,0.14
wrong_true_all_10,doc_overall-truthfulness_value,-2.0,0.06
wrong_true_all_10,doc_overall-truthfulness_value,-1.0,0.21
wrong_true_all_10,doc_overall-truthfulness_value,0.0,0.28
wrong_true_all_10,doc_overall-truthfulness_value,1.0,0.33
wrong_true_all_10,doc_overall-truthfulness_value,2.0,0.12
wrong_true_politifact_5,doc_overall-truthfulness_value,-2.0,0.06
wrong_true_politifact_5,doc_overall-truthfulness_value,-1.0,0.28
wrong_true_politifact_5,doc_overall-truthfulness_value,0.0,0.22
wrong_true_politifact_5,doc_overall-truthfulness_value,1.0,0.32
wrong_true_politifact_5,doc_overall-truthfulness_value,2.0,0.12
correct_false_abc_5,doc_confidence_value,-2.0,0.34
correct_false_abc_5,doc_confidence_value,-1.0,0.3
correct_false_abc_5,doc_confidence_value,0.0,0.12
correct_false_abc_5,doc_confidence_value,1.0,0.2
correct_false_abc_5,doc_confidence_value,2.0,0.06
correct_false_all_10,doc_confidence_value,-2.0,0.23
correct_false_all_10,doc_confidence_value,-1.0,0.28
correct_false_all_10,doc_confidence_value,0.0,0.16
correct_false_all_10,doc_confidence_value,1.0,0.26
correct_false_all_10,doc_confidence_value,2.0,0.08
correct_false_politifact_5,doc_confidence_value,-2.0,0.12
correct_false_politifact_5,doc_confidence_value,-1.0,0.26
correct_false_politifact_5,doc_confidence_value,0.0,0.2
correct_false_politifact_5,doc_confidence_value,1.0,0.32
correct_false_politifact_5,doc_confidence_value,2.0,0.1
correct_true_abc_5,doc_confidence_value,-2.0,0.16
correct_true_abc_5,doc_confidence_value,-1.0,0.08
correct_true_abc_5,doc_confidence_value,0.0,0.2
correct_true_abc_5,doc_confidence_value,1.0,0.4
correct_true_abc_5,doc_confidence_value,2.0,0.16
correct_true_all_10,doc_confidence_value,-2.0,0.12
correct_true_all_10,doc_confidence_value,-1.0,0.08
correct_true_all_10,doc_confidence_value,0.0,0.27
correct_true_all_10,doc_confidence_value,1.0,0.34
correct_true_all_10,doc_confidence_value,2.0,0.19
correct_true_politifact_5,doc_confidence_value,-2.0,0.08
correct_true_politifact_5,doc_confidence_value,-1.0,0.08
correct_true_politifact_5,doc_confidence_value,0.0,0.34
correct_true_politifact_5,doc_confidence_value,1.0,0.28
correct_true_politifact_5,doc_confidence_value,2.0,0.22
wrong_false_abc_5,doc_confidence_value,-2.0,0.28
wrong_false_abc_5,doc_confidence_value,-1.0,0.16
wrong_false_abc_5,doc_confidence_value,0.0,0.24
wrong_false_abc_5,doc_confidence_value,1.0,0.26
wrong_false_abc_5,doc_confidence_value,2.0,0.06
wrong_false_all_10,doc_confidence_value,-2.0,0.23
wrong_false_all_10,doc_confidence_value,-1.0,0.14
wrong_false_all_10,doc_confidence_value,0.0,0.25
wrong_false_all_10,doc_confidence_value,1.0,0.26
wrong_false_all_10,doc_confidence_value,2.0,0.11
wrong_false_politifact_5,doc_confidence_value,-2.0,0.18
wrong_false_politifact_5,doc_confidence_value,-1.0,0.14
wrong_false_politifact_5,doc_confidence_value,0.0,0.22
wrong_false_politifact_5,doc_confidence_value,1.0,0.32
wrong_false_politifact_5,doc_confidence_value,2.0,0.14
wrong_true_abc_5,doc_confidence_value,-2.0,0.28
wrong_true_abc_5,doc_confidence_value,-1.0,0.26
wrong_true_abc_5,doc_confidence_value,0.0,0.14
wrong_true_abc_5,doc_confidence_value,1.0,0.28
wrong_true_abc_5,doc_confidence_value,2.0,0.04
wrong_true_all_10,doc_confidence_value,-2.0,0.26
wrong_true_all_10,doc_confidence_value,-1.0,0.2
wrong_true_all_10,doc_confidence_value,0.0,0.22
wrong_true_all_10,doc_confidence_value,1.0,0.25
wrong_true_all_10,doc_confidence_value,2.0,0.07
wrong_true_politifact_5,doc_confidence_value,-2.0,0.22
wrong_true_politifact_5,doc_confidence_value,-1.0,0.18
wrong_true_politifact_5,doc_confidence_value,0.0,0.28
wrong_true_politifact_5,doc_confidence_value,1.0,0.26
wrong_true_politifact_5,doc_confidence_value,2.0,0.06
correct_false_abc_5,doc_correctness_value,-2.0,0.26
correct_false_abc_5,doc_correctness_value,-1.0,0.24
correct_false_abc_5,doc_correctness_value,0.0,0.24
correct_false_abc_5,doc_correctness_value,1.0,0.22
correct_false_abc_5,doc_correctness_value,2.0,0.06
correct_false_all_10,doc_correctness_value,-2.0,0.26
correct_false_all_10,doc_correctness_value,-1.0,0.22
correct_false_all_10,doc_correctness_value,0.0,0.24
correct_false_all_10,doc_correctness_value,1.0,0.24
correct_false_all_10,doc_correctness_value,2.0,0.05
correct_false_politifact_5,doc_correctness_value,-2.0,0.26
correct_false_politifact_5,doc_correctness_value,-1.0,0.2
correct_false_politifact_5,doc_correctness_value,0.0,0.24
correct_false_politifact_5,doc_correctness_value,1.0,0.26
correct_false_politifact_5,doc_correctness_value,2.0,0.04
correct_true_abc_5,doc_correctness_value,-2.0,0.02
correct_true_abc_5,doc_correctness_value,-1.0,0.02
correct_true_abc_5,doc_correctness_value,0.0,0.2
correct_true_abc_5,doc_correctness_value,1.0,0.42
correct_true_abc_5,doc_correctness_value,2.0,0.34
correct_true_all_10,doc_correctness_value,-2.0,0.04
correct_true_all_10,doc_correctness_value,-1.0,0.04
correct_true_all_10,doc_correctness_value,0.0,0.17
correct_true_all_10,doc_correctness_value,1.0,0.41
correct_true_all_10,doc_correctness_value,2.0,0.34
correct_true_politifact_5,doc_correctness_value,-2.0,0.06
correct_true_politifact_5,doc_correctness_value,-1.0,0.06
correct_true_politifact_5,doc_correctness_value,0.0,0.14
correct_true_politifact_5,doc_correctness_value,1.0,0.4
correct_true_politifact_5,doc_correctness_value,2.0,0.34
wrong_false_abc_5,doc_correctness_value,-1.0,0.22
wrong_false_abc_5,doc_correctness_value,0.0,0.2
wrong_false_abc_5,doc_correctness_value,1.0,0.38
wrong_false_abc_5,doc_correctness_value,2.0,0.2
wrong_false_all_10,doc_correctness_value,-2.0,0.02
wrong_false_all_10,doc_correctness_value,-1.0,0.18
wrong_false_all_10,doc_correctness_value,0.0,0.23
wrong_false_all_10,doc_correctness_value,1.0,0.38
wrong_false_all_10,doc_correctness_value,2.0,0.18
wrong_false_politifact_5,doc_correctness_value,-2.0,0.02
wrong_false_politifact_5,doc_correctness_value,-1.0,0.12
wrong_false_politifact_5,doc_correctness_value,0.0,0.28
wrong_false_politifact_5,doc_correctness_value,1.0,0.42
wrong_false_politifact_5,doc_correctness_value,2.0,0.16
wrong_true_abc_5,doc_correctness_value,-2.0,0.02
wrong_true_abc_5,doc_correctness_value,-1.0,0.14
wrong_true_abc_5,doc_correctness_value,0.0,0.26
wrong_true_abc_5,doc_correctness_value,1.0,0.46
wrong_true_abc_5,doc_correctness_value,2.0,0.12
wrong_true_all_10,doc_correctness_value,-2.0,0.08
wrong_true_all_10,doc_correctness_value,-1.0,0.24
wrong_true_all_10,doc_correctness_value,0.0,0.24
wrong_true_all_10,doc_correctness_value,1.0,0.37
wrong_true_all_10,doc_correctness_value,2.0,0.07
wrong_true_politifact_5,doc_correctness_value,-2.0,0.08
wrong_true_politifact_5,doc_correctness_value,-1.0,0.3
wrong_true_politifact_5,doc_correctness_value,0.0,0.28
wrong_true_politifact_5,doc_correctness_value,1.0,0.24
wrong_true_politifact_5,doc_correctness_value,2.0,0.1
correct_false_abc_5,doc_neutrality_value,-2.0,0.32
correct_false_abc_5,doc_neutrality_value,-1.0,0.2
correct_false_abc_5,doc_neutrality_value,0.0,0.14
correct_false_abc_5,doc_neutrality_value,1.0,0.3
correct_false_abc_5,doc_neutrality_value,2.0,0.06
correct_false_all_10,doc_neutrality_value,-2.0,0.35
correct_false_all_10,doc_neutrality_value,-1.0,0.18
correct_false_all_10,doc_neutrality_value,0.0,0.14
correct_false_all_10,doc_neutrality_value,1.0,0.23
correct_false_all_10,doc_neutrality_value,2.0,0.11
correct_false_politifact_5,doc_neutrality_value,-2.0,0.38
